order_id,datetime,dish_ids,dish_names,prep_times,quantities,total_time
27,2025-05-22 23:42,"[22, 21, 10, 8, 12]","['Fanta Orange', 'Coca-Cola', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Almond chicken strips with lemon sauce', 'Mediterranean Lamb Burger']","[1, 1, 30, 25, 30]","[2, 3, 2, 3, 3]",36
28,2025-05-25 23:42,"[24, 14, 18, 9, 5]","['Coffee with Milk', 'Lemon Sorbet with Cava', 'Layered Banana Dessert', 'Meatballs in Spanish Sauce', 'Warm Salad with Baby Eels and King Prawns']","[5, 5, 15, 30, 20]","[2, 3, 3, 2, 3]",37
29,2025-05-27 23:42,"[14, 3, 15, 24]","['Lemon Sorbet with Cava', 'Caesar salad', 'Chilled Raspberry Crumble', 'Coffee with Milk']","[5, 30, 25, 5]","[3, 3, 2, 2]",40
30,2025-05-20 23:42,"[21, 1, 9, 12, 19]","['Coca-Cola', 'Risotto', 'Meatballs in Spanish Sauce', 'Mediterranean Lamb Burger', 'Sparkling Water']","[1, 30, 30, 30, 1]","[2, 1, 2, 3, 2]",36
31,2025-05-30 23:42,[12],['Mediterranean Lamb Burger'],[30],[1],39
32,2025-05-22 23:42,[8],['Almond chicken strips with lemon sauce'],[25],[3],32
33,2025-06-01 23:42,"[3, 14, 2, 23, 12]","['Caesar salad', 'Lemon Sorbet with Cava', 'Spaghetti carbonara', 'Espresso', 'Mediterranean Lamb Burger']","[30, 5, 25, 5, 30]","[3, 1, 2, 3, 1]",39
34,2025-05-28 23:42,"[15, 22, 19, 4]","['Chilled Raspberry Crumble', 'Fanta Orange', 'Sparkling Water', 'Macaroni with Tomato and Chorizo']","[25, 1, 1, 25]","[1, 3, 2, 1]",34
35,2025-06-04 23:42,"[1, 10]","['Risotto', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[30, 30]","[1, 2]",36
36,2025-06-10 23:42,"[1, 12, 19, 24]","['Risotto', 'Mediterranean Lamb Burger', 'Sparkling Water', 'Coffee with Milk']","[30, 30, 1, 5]","[3, 1, 3, 1]",40
37,2025-06-07 23:42,"[16, 23, 6, 17]","['Fresh Fruit Dessert', 'Espresso', 'Seafood Soup', 'Catalan Cream']","[15, 5, 55, 40]","[2, 3, 2, 1]",60
38,2025-05-13 23:42,[15],['Chilled Raspberry Crumble'],[25],[1],29
39,2025-06-09 23:42,"[8, 14, 12, 11]","['Almond chicken strips with lemon sauce', 'Lemon Sorbet with Cava', 'Mediterranean Lamb Burger', 'Sautéed spanish Sausage and Mushrooms']","[25, 5, 30, 30]","[2, 1, 2, 2]",39
40,2025-06-08 23:42,"[5, 11, 10]","['Warm Salad with Baby Eels and King Prawns', 'Sautéed spanish Sausage and Mushrooms', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[20, 30, 30]","[3, 2, 2]",40
41,2025-06-04 23:42,"[10, 15, 11, 21, 18]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Chilled Raspberry Crumble', 'Sautéed spanish Sausage and Mushrooms', 'Coca-Cola', 'Layered Banana Dessert']","[30, 25, 30, 1, 15]","[3, 2, 3, 2, 2]",36
42,2025-05-21 23:42,[15],['Chilled Raspberry Crumble'],[25],[3],32
43,2025-05-21 23:42,"[6, 11, 15]","['Seafood Soup', 'Sautéed spanish Sausage and Mushrooms', 'Chilled Raspberry Crumble']","[55, 30, 25]","[3, 1, 2]",63
44,2025-06-05 23:42,"[22, 9]","['Fanta Orange', 'Meatballs in Spanish Sauce']","[1, 30]","[3, 2]",37
45,2025-05-22 23:42,[4],['Macaroni with Tomato and Chorizo'],[25],[3],34
46,2025-06-08 23:42,"[14, 12, 5, 1, 11]","['Lemon Sorbet with Cava', 'Mediterranean Lamb Burger', 'Warm Salad with Baby Eels and King Prawns', 'Risotto', 'Sautéed spanish Sausage and Mushrooms']","[5, 30, 20, 30, 30]","[2, 1, 2, 1, 1]",39
47,2025-06-07 23:42,"[6, 10, 20, 2]","['Seafood Soup', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Lemon Iced Tea', 'Spaghetti carbonara']","[55, 30, 1, 25]","[2, 2, 2, 2]",59
48,2025-05-28 23:42,[18],['Layered Banana Dessert'],[15],[1],22
49,2025-06-09 23:42,[19],['Sparkling Water'],[1],[1],7
50,2025-06-12 23:42,"[18, 21]","['Layered Banana Dessert', 'Coca-Cola']","[15, 1]","[1, 3]",19
51,2025-06-10 23:42,"[9, 4, 2, 12, 10]","['Meatballs in Spanish Sauce', 'Macaroni with Tomato and Chorizo', 'Spaghetti carbonara', 'Mediterranean Lamb Burger', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[30, 25, 25, 30, 30]","[3, 1, 3, 1, 2]",37
52,2025-06-12 23:42,"[9, 16, 8, 20]","['Meatballs in Spanish Sauce', 'Fresh Fruit Dessert', 'Almond chicken strips with lemon sauce', 'Lemon Iced Tea']","[30, 15, 25, 1]","[2, 3, 2, 1]",38
53,2025-05-31 23:42,"[19, 11]","['Sparkling Water', 'Sautéed spanish Sausage and Mushrooms']","[1, 30]","[1, 2]",37
54,2025-05-30 23:42,"[19, 13, 21, 16, 11]","['Sparkling Water', 'Chocolate Lava Cake', 'Coca-Cola', 'Fresh Fruit Dessert', 'Sautéed spanish Sausage and Mushrooms']","[1, 25, 1, 15, 30]","[1, 3, 3, 2, 2]",37
55,2025-05-18 23:42,"[17, 11, 23]","['Catalan Cream', 'Sautéed spanish Sausage and Mushrooms', 'Espresso']","[40, 30, 5]","[3, 2, 2]",50
56,2025-06-09 23:42,"[5, 10, 3, 17, 14]","['Warm Salad with Baby Eels and King Prawns', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Caesar salad', 'Catalan Cream', 'Lemon Sorbet with Cava']","[20, 30, 30, 40, 5]","[2, 1, 2, 3, 2]",48
57,2025-05-23 23:42,"[21, 9, 17, 5, 1]","['Coca-Cola', 'Meatballs in Spanish Sauce', 'Catalan Cream', 'Warm Salad with Baby Eels and King Prawns', 'Risotto']","[1, 30, 40, 20, 30]","[1, 2, 1, 1, 3]",50
58,2025-06-07 23:42,"[12, 22, 20, 14]","['Mediterranean Lamb Burger', 'Fanta Orange', 'Lemon Iced Tea', 'Lemon Sorbet with Cava']","[30, 1, 1, 5]","[3, 1, 1, 3]",37
59,2025-06-03 23:42,"[6, 13, 8, 23]","['Seafood Soup', 'Chocolate Lava Cake', 'Almond chicken strips with lemon sauce', 'Espresso']","[55, 25, 25, 5]","[1, 3, 1, 1]",60
60,2025-05-28 23:42,"[14, 16, 19]","['Lemon Sorbet with Cava', 'Fresh Fruit Dessert', 'Sparkling Water']","[5, 15, 1]","[2, 1, 3]",21
61,2025-06-11 23:42,"[3, 9]","['Caesar salad', 'Meatballs in Spanish Sauce']","[30, 30]","[1, 1]",34
62,2025-05-17 23:42,"[10, 18, 12, 6]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Layered Banana Dessert', 'Mediterranean Lamb Burger', 'Seafood Soup']","[30, 15, 30, 55]","[1, 3, 3, 2]",60
63,2025-06-07 23:42,"[22, 16, 7]","['Fanta Orange', 'Fresh Fruit Dessert', 'Beef steaks with strawberry sauce']","[1, 15, 30]","[2, 3, 3]",37
64,2025-05-26 23:42,"[5, 17, 23, 1, 15]","['Warm Salad with Baby Eels and King Prawns', 'Catalan Cream', 'Espresso', 'Risotto', 'Chilled Raspberry Crumble']","[20, 40, 5, 30, 25]","[2, 1, 3, 1, 3]",45
65,2025-05-16 23:42,"[11, 24, 5]","['Sautéed spanish Sausage and Mushrooms', 'Coffee with Milk', 'Warm Salad with Baby Eels and King Prawns']","[30, 5, 20]","[3, 2, 2]",33
66,2025-05-29 23:42,"[5, 9]","['Warm Salad with Baby Eels and King Prawns', 'Meatballs in Spanish Sauce']","[20, 30]","[2, 3]",39
67,2025-06-10 23:42,[6],['Seafood Soup'],[55],[1],65
68,2025-05-19 23:42,[9],['Meatballs in Spanish Sauce'],[30],[1],34
69,2025-06-06 23:42,[12],['Mediterranean Lamb Burger'],[30],[1],38
70,2025-05-28 23:42,"[13, 14, 23, 8]","['Chocolate Lava Cake', 'Lemon Sorbet with Cava', 'Espresso', 'Almond chicken strips with lemon sauce']","[25, 5, 5, 25]","[2, 3, 1, 3]",30
71,2025-06-07 23:42,"[15, 11, 18, 24]","['Chilled Raspberry Crumble', 'Sautéed spanish Sausage and Mushrooms', 'Layered Banana Dessert', 'Coffee with Milk']","[25, 30, 15, 5]","[1, 3, 3, 2]",33
72,2025-06-05 23:42,"[22, 5, 16, 3, 17]","['Fanta Orange', 'Warm Salad with Baby Eels and King Prawns', 'Fresh Fruit Dessert', 'Caesar salad', 'Catalan Cream']","[1, 20, 15, 30, 40]","[2, 1, 3, 3, 3]",46
73,2025-05-29 23:42,"[14, 20, 15, 19, 18]","['Lemon Sorbet with Cava', 'Lemon Iced Tea', 'Chilled Raspberry Crumble', 'Sparkling Water', 'Layered Banana Dessert']","[5, 1, 25, 1, 15]","[3, 2, 2, 1, 2]",35
74,2025-05-25 23:42,"[18, 19]","['Layered Banana Dessert', 'Sparkling Water']","[15, 1]","[3, 1]",24
75,2025-05-27 23:42,[18],['Layered Banana Dessert'],[15],[1],22
76,2025-06-08 23:42,"[22, 12]","['Fanta Orange', 'Mediterranean Lamb Burger']","[1, 30]","[1, 2]",33
77,2025-06-08 23:42,"[20, 17, 12, 15]","['Lemon Iced Tea', 'Catalan Cream', 'Mediterranean Lamb Burger', 'Chilled Raspberry Crumble']","[1, 40, 30, 25]","[3, 3, 3, 1]",44
78,2025-05-18 23:42,"[9, 20, 6]","['Meatballs in Spanish Sauce', 'Lemon Iced Tea', 'Seafood Soup']","[30, 1, 55]","[3, 2, 1]",60
79,2025-05-22 23:42,"[11, 23, 15, 20, 4]","['Sautéed spanish Sausage and Mushrooms', 'Espresso', 'Chilled Raspberry Crumble', 'Lemon Iced Tea', 'Macaroni with Tomato and Chorizo']","[30, 5, 25, 1, 25]","[3, 2, 1, 2, 3]",33
80,2025-06-05 23:42,"[22, 20]","['Fanta Orange', 'Lemon Iced Tea']","[1, 1]","[2, 3]",9
81,2025-06-10 23:42,"[14, 19, 7]","['Lemon Sorbet with Cava', 'Sparkling Water', 'Beef steaks with strawberry sauce']","[5, 1, 30]","[1, 1, 3]",34
82,2025-06-01 23:42,"[12, 8]","['Mediterranean Lamb Burger', 'Almond chicken strips with lemon sauce']","[30, 25]","[3, 1]",37
83,2025-05-13 23:42,"[18, 4, 6, 1]","['Layered Banana Dessert', 'Macaroni with Tomato and Chorizo', 'Seafood Soup', 'Risotto']","[15, 25, 55, 30]","[2, 2, 2, 3]",61
84,2025-05-14 23:42,[17],['Catalan Cream'],[40],[2],45
85,2025-05-17 23:42,"[10, 21, 8, 1]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Coca-Cola', 'Almond chicken strips with lemon sauce', 'Risotto']","[30, 1, 25, 30]","[3, 3, 3, 1]",38
86,2025-06-10 23:42,[13],['Chocolate Lava Cake'],[25],[3],31
87,2025-05-31 23:42,"[10, 3, 21]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Caesar salad', 'Coca-Cola']","[30, 30, 1]","[3, 1, 3]",39
88,2025-06-09 23:42,"[5, 18, 15, 20, 16]","['Warm Salad with Baby Eels and King Prawns', 'Layered Banana Dessert', 'Chilled Raspberry Crumble', 'Lemon Iced Tea', 'Fresh Fruit Dessert']","[20, 15, 25, 1, 15]","[3, 2, 3, 2, 1]",31
89,2025-06-09 23:42,[6],['Seafood Soup'],[55],[2],60
90,2025-06-05 23:42,"[23, 19, 18, 16, 7]","['Espresso', 'Sparkling Water', 'Layered Banana Dessert', 'Fresh Fruit Dessert', 'Beef steaks with strawberry sauce']","[5, 1, 15, 15, 30]","[2, 2, 3, 3, 1]",33
91,2025-05-28 23:42,"[7, 20, 10, 13, 19]","['Beef steaks with strawberry sauce', 'Lemon Iced Tea', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Chocolate Lava Cake', 'Sparkling Water']","[30, 1, 30, 25, 1]","[1, 1, 3, 1, 1]",39
92,2025-05-23 23:42,"[3, 16, 23]","['Caesar salad', 'Fresh Fruit Dessert', 'Espresso']","[30, 15, 5]","[2, 1, 3]",35
93,2025-06-11 23:42,"[9, 21]","['Meatballs in Spanish Sauce', 'Coca-Cola']","[30, 1]","[2, 2]",37
94,2025-05-17 23:42,"[21, 11, 3, 4]","['Coca-Cola', 'Sautéed spanish Sausage and Mushrooms', 'Caesar salad', 'Macaroni with Tomato and Chorizo']","[1, 30, 30, 25]","[3, 2, 1, 2]",39
95,2025-06-11 23:42,"[2, 17, 12]","['Spaghetti carbonara', 'Catalan Cream', 'Mediterranean Lamb Burger']","[25, 40, 30]","[3, 2, 3]",45
96,2025-05-22 23:42,"[10, 8, 20]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Almond chicken strips with lemon sauce', 'Lemon Iced Tea']","[30, 25, 1]","[1, 2, 1]",39
97,2025-06-09 23:42,"[16, 22, 23, 19, 8]","['Fresh Fruit Dessert', 'Fanta Orange', 'Espresso', 'Sparkling Water', 'Almond chicken strips with lemon sauce']","[15, 1, 5, 1, 25]","[2, 3, 1, 1, 1]",31
98,2025-05-15 23:42,[24],['Coffee with Milk'],[5],[3],11
99,2025-05-31 23:42,[18],['Layered Banana Dessert'],[15],[1],18
100,2025-05-26 23:42,"[17, 16, 5]","['Catalan Cream', 'Fresh Fruit Dessert', 'Warm Salad with Baby Eels and King Prawns']","[40, 15, 20]","[1, 1, 1]",46
101,2025-05-30 23:42,"[16, 7, 23]","['Fresh Fruit Dessert', 'Beef steaks with strawberry sauce', 'Espresso']","[15, 30, 5]","[3, 2, 2]",37
102,2025-05-30 23:42,"[16, 9]","['Fresh Fruit Dessert', 'Meatballs in Spanish Sauce']","[15, 30]","[2, 3]",34
103,2025-05-29 23:42,[15],['Chilled Raspberry Crumble'],[25],[3],33
104,2025-05-29 23:42,"[24, 5, 3, 22]","['Coffee with Milk', 'Warm Salad with Baby Eels and King Prawns', 'Caesar salad', 'Fanta Orange']","[5, 20, 30, 1]","[2, 1, 2, 1]",39
105,2025-05-16 23:42,"[18, 19, 13]","['Layered Banana Dessert', 'Sparkling Water', 'Chocolate Lava Cake']","[15, 1, 25]","[3, 1, 1]",35
106,2025-06-03 23:42,"[19, 12]","['Sparkling Water', 'Mediterranean Lamb Burger']","[1, 30]","[1, 2]",36
107,2025-05-17 23:42,"[23, 18, 21, 16, 6]","['Espresso', 'Layered Banana Dessert', 'Coca-Cola', 'Fresh Fruit Dessert', 'Seafood Soup']","[5, 15, 1, 15, 55]","[3, 1, 2, 1, 1]",65
108,2025-05-13 23:42,"[16, 15, 3, 9]","['Fresh Fruit Dessert', 'Chilled Raspberry Crumble', 'Caesar salad', 'Meatballs in Spanish Sauce']","[15, 25, 30, 30]","[3, 3, 3, 1]",38
109,2025-06-10 23:42,"[5, 13, 7]","['Warm Salad with Baby Eels and King Prawns', 'Chocolate Lava Cake', 'Beef steaks with strawberry sauce']","[20, 25, 30]","[1, 1, 3]",37
110,2025-06-02 23:42,"[17, 11, 22, 1]","['Catalan Cream', 'Sautéed spanish Sausage and Mushrooms', 'Fanta Orange', 'Risotto']","[40, 30, 1, 30]","[3, 2, 3, 2]",49
111,2025-05-17 23:42,[4],['Macaroni with Tomato and Chorizo'],[25],[2],28
112,2025-06-04 23:42,[12],['Mediterranean Lamb Burger'],[30],[2],33
113,2025-05-18 23:42,"[24, 2, 23]","['Coffee with Milk', 'Spaghetti carbonara', 'Espresso']","[5, 25, 5]","[3, 1, 1]",30
114,2025-06-12 23:42,[3],['Caesar salad'],[30],[3],35
115,2025-05-13 23:42,[14],['Lemon Sorbet with Cava'],[5],[2],13
116,2025-05-30 23:42,"[17, 21, 1, 16]","['Catalan Cream', 'Coca-Cola', 'Risotto', 'Fresh Fruit Dessert']","[40, 1, 30, 15]","[1, 3, 1, 3]",47
117,2025-06-09 23:42,"[4, 20, 12, 22]","['Macaroni with Tomato and Chorizo', 'Lemon Iced Tea', 'Mediterranean Lamb Burger', 'Fanta Orange']","[25, 1, 30, 1]","[2, 1, 2, 2]",35
118,2025-05-26 23:42,"[7, 12, 4, 18, 17]","['Beef steaks with strawberry sauce', 'Mediterranean Lamb Burger', 'Macaroni with Tomato and Chorizo', 'Layered Banana Dessert', 'Catalan Cream']","[30, 30, 25, 15, 40]","[1, 3, 2, 1, 3]",44
119,2025-05-21 23:42,"[10, 19, 18]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Sparkling Water', 'Layered Banana Dessert']","[30, 1, 15]","[3, 1, 1]",38
120,2025-05-22 23:42,[20],['Lemon Iced Tea'],[1],[1],11
121,2025-05-31 23:42,[9],['Meatballs in Spanish Sauce'],[30],[1],35
122,2025-05-26 23:42,"[4, 13]","['Macaroni with Tomato and Chorizo', 'Chocolate Lava Cake']","[25, 25]","[2, 3]",30
123,2025-05-30 23:42,[15],['Chilled Raspberry Crumble'],[25],[1],31
124,2025-06-07 23:42,"[22, 6]","['Fanta Orange', 'Seafood Soup']","[1, 55]","[3, 1]",63
125,2025-05-14 23:42,"[7, 20, 5, 22]","['Beef steaks with strawberry sauce', 'Lemon Iced Tea', 'Warm Salad with Baby Eels and King Prawns', 'Fanta Orange']","[30, 1, 20, 1]","[3, 2, 3, 2]",39
126,2025-06-03 23:42,"[16, 19]","['Fresh Fruit Dessert', 'Sparkling Water']","[15, 1]","[2, 2]",22
127,2025-06-06 23:42,"[6, 4]","['Seafood Soup', 'Macaroni with Tomato and Chorizo']","[55, 25]","[1, 1]",65
128,2025-05-22 23:42,[12],['Mediterranean Lamb Burger'],[30],[2],40
129,2025-06-02 23:42,"[12, 7, 21, 10, 24]","['Mediterranean Lamb Burger', 'Beef steaks with strawberry sauce', 'Coca-Cola', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Coffee with Milk']","[30, 30, 1, 30, 5]","[2, 2, 1, 1, 2]",35
130,2025-06-04 23:42,[3],['Caesar salad'],[30],[1],33
131,2025-05-23 23:42,[5],['Warm Salad with Baby Eels and King Prawns'],[20],[2],30
132,2025-06-03 23:42,"[20, 16, 7, 22, 6]","['Lemon Iced Tea', 'Fresh Fruit Dessert', 'Beef steaks with strawberry sauce', 'Fanta Orange', 'Seafood Soup']","[1, 15, 30, 1, 55]","[2, 3, 2, 1, 1]",63
133,2025-05-28 23:42,"[13, 16, 22, 2]","['Chocolate Lava Cake', 'Fresh Fruit Dessert', 'Fanta Orange', 'Spaghetti carbonara']","[25, 15, 1, 25]","[1, 1, 1, 3]",34
134,2025-06-09 23:42,[18],['Layered Banana Dessert'],[15],[3],20
135,2025-05-27 23:42,[9],['Meatballs in Spanish Sauce'],[30],[3],35
136,2025-05-25 23:42,"[16, 11]","['Fresh Fruit Dessert', 'Sautéed spanish Sausage and Mushrooms']","[15, 30]","[3, 1]",37
137,2025-06-11 23:42,"[2, 14, 5, 13, 15]","['Spaghetti carbonara', 'Lemon Sorbet with Cava', 'Warm Salad with Baby Eels and King Prawns', 'Chocolate Lava Cake', 'Chilled Raspberry Crumble']","[25, 5, 20, 25, 25]","[1, 2, 2, 2, 2]",30
138,2025-05-30 23:42,"[15, 3, 2]","['Chilled Raspberry Crumble', 'Caesar salad', 'Spaghetti carbonara']","[25, 30, 25]","[1, 2, 2]",36
139,2025-06-05 23:42,"[4, 6]","['Macaroni with Tomato and Chorizo', 'Seafood Soup']","[25, 55]","[2, 3]",63
140,2025-05-15 23:42,"[11, 22, 4, 24]","['Sautéed spanish Sausage and Mushrooms', 'Fanta Orange', 'Macaroni with Tomato and Chorizo', 'Coffee with Milk']","[30, 1, 25, 5]","[1, 2, 1, 2]",37
141,2025-06-03 23:42,"[22, 9]","['Fanta Orange', 'Meatballs in Spanish Sauce']","[1, 30]","[1, 1]",34
142,2025-05-24 23:42,"[10, 13, 8, 16, 21]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Chocolate Lava Cake', 'Almond chicken strips with lemon sauce', 'Fresh Fruit Dessert', 'Coca-Cola']","[30, 25, 25, 15, 1]","[1, 2, 1, 2, 3]",40
143,2025-06-06 23:42,"[15, 23]","['Chilled Raspberry Crumble', 'Espresso']","[25, 5]","[3, 2]",34
144,2025-05-16 23:42,"[12, 1, 11, 6]","['Mediterranean Lamb Burger', 'Risotto', 'Sautéed spanish Sausage and Mushrooms', 'Seafood Soup']","[30, 30, 30, 55]","[3, 2, 3, 2]",61
145,2025-06-11 23:42,[20],['Lemon Iced Tea'],[1],[3],10
146,2025-06-10 23:42,"[17, 23]","['Catalan Cream', 'Espresso']","[40, 5]","[2, 2]",49
147,2025-05-19 23:42,"[9, 7, 6]","['Meatballs in Spanish Sauce', 'Beef steaks with strawberry sauce', 'Seafood Soup']","[30, 30, 55]","[1, 2, 2]",65
148,2025-05-16 23:42,"[4, 9, 21, 10, 6]","['Macaroni with Tomato and Chorizo', 'Meatballs in Spanish Sauce', 'Coca-Cola', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Seafood Soup']","[25, 30, 1, 30, 55]","[3, 3, 3, 2, 2]",62
149,2025-06-07 23:42,"[17, 11, 16, 2, 10]","['Catalan Cream', 'Sautéed spanish Sausage and Mushrooms', 'Fresh Fruit Dessert', 'Spaghetti carbonara', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[40, 30, 15, 25, 30]","[1, 2, 3, 2, 3]",43
150,2025-05-13 23:42,"[5, 15, 9, 7]","['Warm Salad with Baby Eels and King Prawns', 'Chilled Raspberry Crumble', 'Meatballs in Spanish Sauce', 'Beef steaks with strawberry sauce']","[20, 25, 30, 30]","[3, 3, 2, 3]",40
151,2025-06-04 23:42,"[13, 11, 4, 6]","['Chocolate Lava Cake', 'Sautéed spanish Sausage and Mushrooms', 'Macaroni with Tomato and Chorizo', 'Seafood Soup']","[25, 30, 25, 55]","[1, 3, 3, 3]",65
152,2025-06-05 23:42,"[10, 4, 8]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Macaroni with Tomato and Chorizo', 'Almond chicken strips with lemon sauce']","[30, 25, 25]","[3, 1, 3]",36
153,2025-06-02 23:42,[11],['Sautéed spanish Sausage and Mushrooms'],[30],[3],37
154,2025-05-31 23:42,"[15, 13, 14, 3, 16]","['Chilled Raspberry Crumble', 'Chocolate Lava Cake', 'Lemon Sorbet with Cava', 'Caesar salad', 'Fresh Fruit Dessert']","[25, 25, 5, 30, 15]","[3, 3, 3, 3, 2]",37
155,2025-05-28 23:42,[19],['Sparkling Water'],[1],[1],11
156,2025-05-23 23:42,"[8, 14, 21]","['Almond chicken strips with lemon sauce', 'Lemon Sorbet with Cava', 'Coca-Cola']","[25, 5, 1]","[3, 3, 1]",33
